equipaID,jornadaID,lugar,pontosTotais,numVitorias,numEmpates,numDerrotas,golosMarcados,golosSofridos
3,1,1,3,1,0,0,3,0
5,1,2,3,1,0,0,3,0
16,1,3,3,1,0,0,3,0
2,1,4,3,1,0,0,2,0
11,1,5,3,1,0,0,2,0
4,1,6,3,1,0,0,2,0
8,1,7,3,1,0,0,2,0
1,1,8,3,1,0,0,2,1
9,1,9,3,1,0,0,1,0
17,1,10,0,0,0,1,1,2
6,1,11,0,0,0,1,0,1
7,1,12,0,0,0,1,0,2
12,1,13,0,0,0,1,0,2
15,1,14,0,0,0,1,0,2
18,1,15,0,0,0,1,0,2
14,1,16,0,0,0,1,0,3
10,1,17,0,0,0,1,0,3
13,1,18,0,0,0,1,0,3
3,2,1,6,2,0,0,5,1
5,2,2,6,2,0,0,4,0
2,2,3,6,2,0,0,4,1
1,2,4,6,2,0,0,4,1
8,2,5,4,1,1,0,2,0
13,2,6,3,1,0,1,3,3
4,2,7,3,1,0,1,3,2
14,2,8,3,1,0,1,2,4
9,2,9,3,1,0,1,1,1
16,2,10,3,1,0,1,4,2
7,2,11,3,1,0,1,2,3
11,2,12,3,1,0,1,2,3
17,2,13,1,0,1,1,3,4
10,2,14,1,0,1,1,2,5
6,2,15,1,0,1,1,0,1
18,2,16,0,0,0,2,1,4
12,2,17,0,0,0,2,1,4
15,2,18,0,0,0,2,0,4
3,3,1,9,3,0,0,7,1
1,3,2,9,3,0,0,6,1
8,3,3,7,2,1,0,5,1
2,3,4,7,2,1,0,5,2
5,3,5,6,2,0,1,4,2
4,3,6,6,2,0,1,6,4
9,3,7,6,2,0,1,4,1
13,3,8,6,2,0,1,5,3
6,3,9,4,1,1,1,4,1
7,3,10,4,1,1,1,3,4
14,3,11,3,1,0,2,2,8
11,3,12,3,1,0,2,3,6
15,3,13,3,1,0,2,2,5
16,3,14,3,1,0,2,4,5
17,3,15,1,0,1,2,5,7
10,3,16,1,0,1,2,2,7
12,3,17,0,0,0,3,2,6
18,3,18,0,0,0,3,1,6
1,4,1,12,4,0,0,8,2
2,4,2,10,3,1,0,8,2
3,4,3,10,3,1,0,8,2
8,4,4,10,3,1,0,7,2
4,4,5,7,2,1,1,6,4
13,4,6,7,2,1,1,6,4
5,4,7,6,2,0,2,4,3
11,4,8,6,2,0,2,4,6
9,4,9,6,2,0,2,4,2
6,4,10,5,1,2,1,4,1
7,4,11,4,1,1,2,4,6
10,4,12,4,1,1,2,3,7
14,4,13,4,1,1,2,3,9
16,4,14,3,1,0,3,5,7
15,4,15,3,1,0,3,2,8
17,4,16,2,0,2,2,6,8
12,4,17,1,0,1,3,3,7
18,4,18,1,0,1,3,2,7
1,5,1,15,5,0,0,13,2
8,5,2,13,4,1,0,9,3
2,5,3,11,3,2,0,9,3
3,5,4,11,3,2,0,9,3
13,5,5,8,2,2,1,7,5
4,5,6,8,2,2,1,6,4
5,5,7,7,2,1,2,6,5
11,5,8,7,2,1,2,4,6
9,5,9,7,2,1,2,5,3
6,5,10,6,1,3,1,4,1
7,5,11,5,1,2,2,6,8
14,5,12,5,1,2,2,5,11
15,5,13,4,1,1,3,4,10
10,5,14,4,1,1,3,3,12
17,5,15,3,0,3,2,8,10
16,5,16,3,1,0,4,6,9
12,5,17,2,0,2,3,5,9
18,5,18,2,0,2,3,2,7
1,6,1,18,6,0,0,16,3
2,6,2,14,4,2,0,14,3
3,6,3,14,4,2,0,10,3
8,6,4,13,4,1,1,9,4
4,6,5,11,3,2,1,9,5
9,6,6,10,3,1,2,7,4
5,6,7,8,2,2,2,7,6
13,6,8,8,2,2,2,8,8
11,6,9,8,2,2,2,5,7
6,6,10,7,1,4,1,6,3
7,6,11,6,1,3,2,6,8
14,6,12,6,1,3,2,6,12
15,6,13,5,1,2,3,6,12
10,6,14,4,1,1,4,4,14
17,6,15,3,0,3,3,8,15
12,6,16,3,0,3,3,5,9
18,6,17,3,0,3,3,3,8
16,6,18,3,1,0,5,7,12
1,7,1,21,7,0,0,19,4
2,7,2,17,5,2,0,16,4
3,7,3,17,5,2,0,11,3
8,7,4,14,4,2,1,10,5
4,7,5,12,3,3,1,10,6
9,7,6,11,3,2,2,7,4
13,7,7,9,2,3,2,9,9
11,7,8,9,2,3,2,7,9
5,7,9,8,2,2,3,8,8
6,7,10,7,1,4,2,7,6
14,7,11,7,1,4,2,6,12
7,7,12,6,1,3,3,6,9
16,7,13,6,2,0,5,10,14
17,7,14,6,1,3,3,10,16
15,7,15,5,1,2,4,7,14
10,7,16,5,1,2,4,5,15
18,7,17,4,0,4,3,5,10
12,7,18,3,0,3,4,7,12
1,8,1,21,7,0,1,19,5
2,8,2,20,6,2,0,18,5
3,8,3,20,6,2,0,13,4
8,8,4,15,4,3,1,12,7
9,8,5,14,4,2,2,8,4
4,8,6,13,3,4,1,12,8
6,8,7,10,2,4,2,9,7
13,8,8,10,2,4,2,11,11
5,8,9,9,2,3,3,10,10
16,8,10,9,3,0,5,12,14
11,8,11,9,2,3,3,8,11
14,8,12,8,1,5,2,7,13
7,8,13,7,1,4,3,6,9
17,8,14,7,1,4,3,10,16
10,8,15,6,1,3,4,6,16
15,8,16,5,1,2,5,8,16
18,8,17,4,0,4,4,5,12
12,8,18,3,0,3,5,8,14
1,9,1,24,8,0,1,20,5
2,9,2,23,7,2,0,21,6
3,9,3,23,7,2,0,14,4
8,9,4,18,5,3,1,14,7
4,9,5,16,4,4,1,13,8
9,9,6,14,4,2,3,8,6
6,9,7,13,3,4,2,11,8
13,9,8,11,2,5,2,11,11
11,9,9,10,2,4,3,8,11
5,9,10,9,2,3,4,10,11
16,9,11,9,3,0,6,13,17
14,9,12,8,1,5,3,7,14
7,9,13,7,1,4,4,7,11
17,9,14,7,1,4,4,10,17
12,9,15,6,1,3,5,10,14
15,9,16,6,1,3,5,8,16
10,9,17,6,1,3,5,6,18
18,9,18,5,0,5,4,5,12
2,10,1,26,8,2,0,25,7
3,10,2,26,8,2,0,15,4
1,10,3,25,8,1,1,21,6
4,10,4,19,5,4,1,16,8
8,10,5,19,5,4,1,15,8
9,10,6,14,4,2,4,8,9
6,10,7,13,3,4,3,11,9
5,10,8,12,3,3,4,12,12
13,10,9,11,2,5,3,12,15
11,10,10,11,2,5,3,9,12
15,10,11,9,2,3,5,10,16
14,10,12,9,1,6,3,8,15
16,10,13,9,3,0,7,13,19
17,10,14,8,1,5,4,11,18
18,10,15,8,1,5,4,7,13
12,10,16,7,1,4,5,11,15
7,10,17,7,1,4,5,8,13
10,10,18,6,1,3,6,7,20
2,11,1,29,9,2,0,28,7
3,11,2,29,9,2,0,17,4
1,11,3,28,9,1,1,27,7
8,11,4,20,5,5,1,16,9
4,11,5,19,5,4,2,17,14
9,11,6,17,5,2,4,10,9
6,11,7,16,4,4,3,13,10
5,11,8,13,3,4,4,13,13
16,11,9,12,4,0,7,17,21
13,11,10,11,2,5,4,14,20
11,11,11,11,2,5,4,9,14
15,11,12,10,2,4,5,11,17
14,11,13,10,1,7,3,9,16
12,11,14,10,2,4,5,16,17
17,11,15,8,1,5,5,12,20
18,11,16,8,1,5,5,7,15
7,11,17,7,1,4,6,10,17
10,11,18,6,1,3,7,7,23
2,12,1,32,10,2,0,30,8
3,12,2,32,10,2,0,19,4
1,12,3,31,10,1,1,34,7
4,12,4,22,6,4,2,21,15
8,12,5,21,5,6,1,18,11
9,12,6,20,6,2,4,13,9
6,12,7,16,4,4,4,14,12
5,12,8,14,3,5,4,15,15
15,12,9,13,3,4,5,13,18
16,12,10,12,4,0,8,17,23
13,12,11,11,2,5,5,15,22
11,12,12,11,2,5,5,9,16
12,12,13,10,2,4,6,16,20
14,12,14,10,1,7,4,10,20
7,12,15,10,2,4,6,12,17
17,12,16,9,1,6,5,14,22
18,12,17,8,1,5,6,7,22
10,12,18,7,1,4,7,9,25
2,13,1,35,11,2,0,33,8
3,13,2,35,11,2,0,22,5
1,13,3,31,10,1,2,35,10
4,13,4,25,7,4,2,23,15
8,13,5,21,5,6,2,18,13
9,13,6,20,6,2,5,13,12
6,13,7,19,5,4,4,16,13
5,13,8,17,4,5,4,19,15
16,13,9,15,5,0,8,19,24
15,13,10,13,3,4,6,14,20
14,13,11,13,2,7,4,12,20
13,13,12,12,2,6,5,16,23
7,13,13,11,2,5,6,13,18
11,13,14,11,2,5,6,10,18
12,13,15,10,2,4,7,16,24
10,13,16,10,2,4,7,11,26
17,13,17,9,1,6,6,15,24
18,13,18,8,1,5,7,7,24
2,14,1,38,12,2,0,34,8
3,14,2,38,12,2,0,24,5
1,14,3,34,11,1,2,39,11
4,14,4,25,7,4,3,23,16
8,14,5,24,6,6,2,19,13
9,14,6,23,7,2,5,14,12
6,14,7,22,6,4,4,21,15
5,14,8,20,5,5,4,20,15
14,14,9,16,3,7,4,16,21
16,14,10,15,5,0,9,21,29
7,14,11,14,3,5,6,17,19
15,14,12,13,3,4,7,15,24
13,14,13,12,2,6,6,16,25
11,14,14,11,2,5,7,10,19
12,14,15,10,2,4,8,17,28
10,14,16,10,2,4,8,12,30
17,14,17,9,1,6,7,15,25
18,14,18,8,1,5,8,7,25
2,15,1,41,13,2,0,38,8
3,15,2,41,13,2,0,27,5
1,15,3,37,12,1,2,46,12
4,15,4,28,8,4,3,24,16
8,15,5,25,6,7,2,21,15
9,15,6,24,7,3,5,15,13
6,15,7,22,6,4,5,21,16
5,15,8,20,5,5,5,20,18
14,15,9,16,3,7,5,16,25
13,15,10,15,3,6,6,17,25
16,15,11,15,5,0,10,21,30
7,15,12,14,3,5,7,18,26
