goloID,baliza,jogadorID,jogoID
1,adversaria,71,306
2,adversaria,68,306
3,adversaria,217,306
4,adversaria,72,306
5,adversaria,218,306
6,adversaria,47,305
7,adversaria,45,305
8,adversaria,144,305
9,adversaria,143,305
10,adversaria,144,305
11,adversaria,219,300
12,adversaria,196,300
13,adversaria,220,300
14,adversaria,201,300
15,adversaria,162,300
16,adversaria,36,304
17,adversaria,221,304
18,adversaria,32,304
19,adversaria,69,304
20,propria,90,302
21,adversaria,222,302
22,adversaria,223,303
23,adversaria,183,299
24,adversaria,229,299
25,adversaria,188,299
26,adversaria,154,299
27,adversaria,224,298
28,adversaria,224,298
29,propria,225,297
30,adversaria,137,297
31,adversaria,143,297
32,adversaria,226,297
33,adversaria,139,297
34,adversaria,117,296
35,adversaria,116,296
36,adversaria,47,295
37,adversaria,165,293
38,adversaria,80,293
39,adversaria,56,294
40,adversaria,58,294
41,adversaria,58,294
42,adversaria,36,292
43,adversaria,103,292
44,adversaria,227,292
45,adversaria,32,292
46,adversaria,32,292
47,adversaria,17,291
48,adversaria,93,290
49,adversaria,71,289
50,adversaria,228,289
51,adversaria,190,288
52,adversaria,132,288
53,adversaria,32,287
54,adversaria,69,287
55,adversaria,59,287
56,propria,51,287
57,adversaria,34,287
58,adversaria,229,286
59,adversaria,203,286
60,adversaria,156,286
61,adversaria,71,285
62,adversaria,119,285
63,adversaria,47,284
64,adversaria,22,283
65,adversaria,21,283
66,adversaria,161,283
67,adversaria,167,283
68,adversaria,16,283
69,adversaria,21,283
70,adversaria,9,282
71,adversaria,230,281
72,adversaria,137,280
73,adversaria,231,280
74,adversaria,232,280
75,adversaria,233,280
76,adversaria,31,279
77,adversaria,149,279
78,adversaria,36,279
79,adversaria,47,278
80,adversaria,189,277
81,adversaria,62,277
82,adversaria,91,276
83,adversaria,93,276
84,adversaria,215,276
85,adversaria,234,276
86,adversaria,124,275
87,adversaria,59,275
88,adversaria,235,274
89,adversaria,235,274
90,adversaria,81,274
91,adversaria,76,274
92,adversaria,227,272
93,adversaria,236,271
94,adversaria,237,271
95,adversaria,236,271
96,adversaria,9,269
97,adversaria,238,269
98,adversaria,21,268
99,adversaria,239,268
100,adversaria,21,268
101,adversaria,22,268
102,adversaria,21,268
