jogadorID,nome,idade,valorMercado,numero,posicao,nacionalidade,equipaID
1,Odysseas Vlachodimos,27,15000000,99,Guarda-Redes,nacionalidade,1
2,Helton Leite,30,3000000,77,Guarda-Redes,nacionalidade,1
3,Mile Svilar,21,2000000,1,Guarda-Redes,nacionalidade,1
4,Leo Kokubo,20,125000,45,Guarda-Redes,nacionalidade,1
5,Lucas Veríssimo,25,10000000,4,Defesa Central,nacionalidade,1
6,Nicolás Otamendi,33,3500000,30,Defesa Central,nacionalidade,1
7,Jan Vertonghen,34,2000000,5,Defesa Central,nacionalidade,1
8,Tomás Araújo,19,2000000,72,Defesa Central,nacionalidade,1
9,Pedro Álvaro,21,300000,89,Defesa Central,nacionalidade,1
10,Alejandro Grimaldo,25,20000000,3,Lateral Esquerdo,nacionalidade,1
11,Sandro Cruz,20,650000,57,Lateral Esquerdo,nacionalidade,1
12,Gilberto,28,5000000,2,Lateral Direito,nacionalidade,1
13,André Almeida,30,1500000,34,Lateral Direito,nacionalidade,1
14,Julian Weigl,25,22000000,28,Médio Defensivo,nacionalidade,1
15,Rafael Brito,19,850000,68,Médio Defensivo,nacionalidade,1
16,Adel Taarabt,32,2500000,49,Médio Centro,nacionalidade,1
17,Martim Neto,18,1500000,76,Médio Centro,nacionalidade,1
18,Éverton,25,15000000,7,Extremo Esquerdo,nacionalidade,1
19,Diego Moreira,16,750000,96,Extremo Esquerdo,nacionalidade,1
20,Diogo Gonçalves,24,5000000,17,Extremo Direito,nacionalidade,1
21,Tiago Gouveia,20,1500000,47,Extremo Direito,nacionalidade,1
22,Rafa Silva,28,20000000,27,Segundo Avançado,nacionalidade,1
23,Luca Waldschmidt,25,7000000,10,Segundo Avançado,nacionalidade,1
24,Darwin Núñez,22,55000000,9,Ponta de Lança,nacionalidade,1
25,Gonçalo Ramos,20,14000000,88,Ponta de Lança,nacionalidade,1
26,Haris Seferovic,29,8000000,14,Ponta de Lança,nacionalidade,1
27,Henrique Araújo,19,5000000,39,Ponta de Lança,nacionalidade,1
28,Diogo Costa,21,25000000,99,Guarda-Redes,nacionalidade,2
29,Agustín Marchesín,33,4000000,1,Guarda-Redes,nacionalidade,2
30,Cláudio Ramos,29,1500000,14,Guarda-Redes,nacionalidade,2
31,Francisco Meixedo,20,450000,71,Guarda-Redes,nacionalidade,2
