jogadorID,nome,idade,valorMercado,numero,posicao,nacionalidade,equipaID
73,Leo Andrade,23,600000,66,Defesa Central,nacionalidade,7
74,Moises Mosquera,20,200000,3,Defesa Central,nacionalidade,7
75,Zainadine,33,200000,5,Defesa Central,nacionalidade,7
76,Fabio China,28,300000,45,Lateral Esquerdo,nacionalidade,7
77,Claudio Winck,27,800000,2,Lateral Direito,nacionalidade,7
78,Tim Soderstrom,27,200000,27,Lateral Direito,nacionalidade,7
79,Rodrigo Andrade,19,200000,88,M?dio Defensivo,nacionalidade,7
80,Stefano Beltrame,28,500000,10,M?dio Centro,nacionalidade,7
81,Pedro Pelagio,21,500000,60,M?dio Centro,nacionalidade,7
82,Edgar Costa,34,100000,12,Extremo Direito,nacionalidade,7
83,Ali Alipour,25,1500000,9,Ponta de Lança,nacionalidade,7
84,Joel Tagueu,27,1000000,95,Ponta de Lança,nacionalidade,7
85,Daniel Figueira,22,1000000,99,Guarda-Redes,nacionalidade,8
86,Thiago Silva,25,300000,12,Guarda-Redes,nacionalidade,8
87,Joaozinho,31,200000,31,Lateral Esquerdo,nacionalidade,8
88,Carles Soria,24,800000,2,Lateral Direito,nacionalidade,8
89,Loreintz Rosier,22,800000,32,M?dio Defensivo,nacionalidade,8
90,Joao Gamboa,24,650000,21,M?dio Defensivo,nacionalidade,8
91,Andre Franco,23,3500000,10,M?dio Ofensivo,nacionalidade,8
92,Bruno Lourenço,23,400000,20,Extremo Direito,nacionalidade,8
93,Andre Clovis,23,300000,9,Ponta de Lança,nacionalidade,8
94,Benchimol,19,150000,90,Ponta de Lança,nacionalidade,8
95,Samuel,27,1500000,94,Guarda-Redes,nacionalidade,9
96,Kosuke Nakamura,26,350000,32,Guarda-Redes,nacionalidade,9
97,Willyan Rocha,26,1500000,4,Defesa Central,nacionalidade,9
98,Fahd Moufi,25,1500000,18,Lateral Direito,nacionalidade,9
99,Pedro Sa,27,700000,21,M?dio Defensivo,nacionalidade,9
100,Giannelli Imbula,28,600000,25,M?dio Defensivo,nacionalidade,9
101,Luquinha,20,700000,20,M?dio Ofensivo,nacionalidade,9
102,Anderson Oliveira,22,500000,11,Extremo Esquerdo,nacionalidade,9
103,Marco Pereira,33,200000,99,Guarda-Redes,nacionalidade,10
104,Rodolfo Cardoso,23,100000,97,Guarda-Redes,nacionalidade,10
105,Mikel Villanueva,28,1000000,3,Defesa Central,nacionalidade,10
106,Cristian Tassano,24,500000,17,Defesa Central,nacionalidade,10
107,Joao Afonso,31,300000,5,Defesa Central,nacionalidade,10
108,Mansur,28,700000,6,Lateral Esquerdo,nacionalidade,10
109,Pierre Sagna,30,250000,95,Lateral Direito,nacionalidade,10
110,Hidemasa Morita,26,4000000,25,M?dio Defensivo,nacionalidade,10
111,Anderson Carvalho,31,500000,8,M?dio Defensivo,nacionalidade,10
112,Nene,26,400000,21,M?dio Defensivo,nacionalidade,10
113,Julio Romao,23,200000,19,M?dio Defensivo,nacionalidade,10
114,Costinha,28,450000,11,M?dio Ofensivo,nacionalidade,10
115,Rœben Oliveira,26,200000,14,M?dio Ofensivo,nacionalidade,10
116,Allano,26,400000,7,Extremo Esquerdo,nacionalidade,10
117,Rui Costa,25,600000,77,Ponta de Lança,nacionalidade,10
118,Jordi,27,800000,1,Guarda-Redes,nacionalidade,11
119,Maracas,27,900000,6,Defesa Central,nacionalidade,11
120,Marco Baixinho,31,400000,2,Defesa Central,nacionalidade,11
121,Fernando Fonseca,24,900000,29,Lateral Direito,nacionalidade,11
122,Jorge Silva,25,400000,21,Lateral Direito,nacionalidade,11
123,Mohamed Diaby,24,400000,24,M?dio Defensivo,nacionalidade,11
124,Abbas Ibrahim,23,200000,8,M?dio Centro,nacionalidade,11
125,Lu’z Carlos,36,100000,22,M?dio Centro,nacionalidade,11
126,Matchoi Djal—,18,2000000,16,M?dio Ofensivo,nacionalidade,11
127,Lucas Silva,23,600000,23,Extremo Esquerdo,nacionalidade,11
128,Helder Ferreira,24,750000,7,Extremo Direito,nacionalidade,11
129,Luiz Junior,20,3000000,31,Guarda-Redes,nacionalidade,12
130,Ivan Zlobin,24,400000,1,Guarda-Redes,nacionalidade,12
131,Riccieli,22,1500000,15,Defesa Central,nacionalidade,12
132,Diogo Figueiras,30,700000,90,Lateral Direito,nacionalidade,12
133,Pepe,24,3500000,88,M?dio Centro,nacionalidade,12
134,Ivan Jaime,20,1000000,10,Extremo Esquerdo,nacionalidade,12
135,Ivo Rodrigues,26,1500000,7,Extremo Direito,nacionalidade,12
136,Pablo,17,300000,77,Ponta de Lança,nacionalidade,12
137,Rafael Bracali,40,100000,1,Guarda-Redes,nacionalidade,13
138,Jackson Porozo,20,3000000,21,Defesa Central,nacionalidade,13
139,Yanis Hamache,21,2000000,25,Lateral Esquerdo,nacionalidade,13
140,Reggie Cannon,23,4000000,2,Lateral Direito,nacionalidade,13
141,Javi Garcia,34,300000,6,M?dio Defensivo,nacionalidade,13
142,Miguel Reisinho,22,300000,10,M?dio Centro,nacionalidade,13
143,Tiago Morais,17,500000,73,Extremo Direito,nacionalidade,13
144,Yusupha Njie,27,800000,11,Ponta de Lança,nacionalidade,13
145,Pedro Silva,24,400000,1,Guarda-Redes,nacionalidade,14
146,Ivo Gonçalves,37,25000,84,Guarda-Redes,nacionalidade,14
147,Mohamed Aidara,24,400000,25,Defesa Central,nacionalidade,14
148,Kiki,26,500000,24,Lateral Esquerdo,nacionalidade,14
149,Richard Ofori,28,400000,37,Lateral Esquerdo,nacionalidade,14
150,Koffi Kouao,23,1500000,39,Lateral Direito,nacionalidade,14
151,Raphael Guzzo,26,300000,8,M?dio Centro,nacionalidade,14
