jogoID,data,hora,visitanteID,visitadoID,jornadaID,resultadoID
1,8/6/2021,20:15,14,3,1,1
2,8/7/2021,12:45,8,15,1,2
3,8/7/2021,18:00,1,17,1,3
4,8/7/2021,20:30,4,7,1,4
5,8/8/2021,15:30,10,16,1,5
6,8/8/2021,15:30,9,6,1,6
7,8/8/2021,18:00,18,2,1,7
8,8/8/2021,20:30,12,11,1,8
9,8/9/2021,20:15,13,5,1,9
10,8/13/2021,20:15,6,8,2,10
11,8/14/2021,15:30,16,14,2,11
12,8/14/2021,18:00,15,1,2,12
13,8/14/2021,20:30,3,4,2,13
14,8/15/2021,15:30,5,9,2,14
15,8/15/2021,18:00,2,12,2,15
16,8/15/2021,20:30,17,10,2,16
17,8/16/2021,19:00,11,13,2,17
18,8/16/2021,21:15,7,18,2,18
19,8/20/2021,19:00,12,15,3,19
20,8/20/2021,21:15,4,17,3,20
21,8/21/2021,18:00,1,5,3,21
22,8/21/2021,20:30,18,3,3,22
23,8/22/2021,15:30,9,16,3,23
24,8/22/2021,18:00,2,7,3,24
25,8/22/2021,20:30,14,6,3,25
26,8/23/2021,19:00,8,11,3,26
27,8/23/2021,21:15,10,13,3,27
28,8/27/2021,19:00,17,18,4,28
29,8/27/2021,21:15,7,8,4,29
30,8/28/2021,15:30,13,14,4,30
31,8/28/2021,18:00,15,2,4,31
32,8/28/2021,20:30,3,12,4,32
33,8/29/2021,18:00,16,1,4,33
34,8/29/2021,18:00,6,4,4,34
35,8/29/2021,20:30,11,9,4,35
36,8/29/2021,20:30,5,10,4,36
37,9/11/2021,15:30,4,11,5,37
38,9/11/2021,18:00,1,10,5,38
39,9/11/2021,20:30,2,3,5,39
40,9/12/2021,15:30,12,17,5,40
41,9/12/2021,18:00,14,5,5,41
42,9/12/2021,18:00,9,13,5,42
43,9/12/2021,20:30,18,6,5,43
44,9/13/2021,19:00,15,7,5,44
45,9/13/2021,21:15,8,16,5,45
46,9/17/2021,20:15,10,9,6,46
47,9/18/2021,15:30,7,12,6,47
48,9/18/2021,18:00,5,18,6,48
49,9/18/2021,20:30,6,15,6,49
50,9/19/2021,15:30,11,14,6,50
51,9/19/2021,18:00,17,2,6,51
52,9/19/2021,20:30,3,8,6,52
53,9/20/2021,19:00,13,1,6,53
54,9/20/2021,21:15,16,4,6,54
55,9/24/2021,19:00,7,3,7,55
56,9/24/2021,21:15,2,5,7,56
57,9/25/2021,15:30,15,17,7,57
58,9/25/2021,18:00,1,6,7,58
59,9/25/2021,20:30,12,16,7,59
60,9/26/2021,18:00,4,10,7,60
61,9/26/2021,20:30,14,9,7,61
62,9/27/2021,19:00,18,11,7,62
63,9/27/2021,21:15,8,13,7,63
64,10/1/2021,19:00,17,7,8,64
65,10/1/2021,21:15,6,12,8,65
66,10/2/2021,15:30,10,14,8,66
67,10/2/2021,18:00,11,2,8,67
68,10/2/2021,20:30,3,15,8,68
69,10/3/2021,15:30,16,18,8,69
70,10/3/2021,18:00,5,8,8,70
71,10/3/2021,18:00,9,1,8,71
72,10/3/2021,20:30,13,4,8,72
73,10/22/2021,20:15,7,6,9,73
74,10/23/2021,15:30,12,10,9,74
75,10/23/2021,18:00,2,16,9,75
76,10/23/2021,20:30,17,3,9,76
77,10/24/2021,15:30,15,11,9,77
78,10/24/2021,18:00,1,14,9,78
79,10/24/2021,20:30,8,9,9,79
80,10/25/2021,19:00,4,5,9,80
81,10/25/2021,21:15,18,13,9,81
82,10/29/2021,20:15,16,15,10,82
83,10/30/2021,17:00,13,2,10,83
84,10/30/2021,19:00,1,8,10,84
