resultadoID,golosVisitante,golosVisitado
1,0,3
2,2,0
3,2,1
4,2,0
5,0,3
6,1,0
7,0,2
8,0,2
9,0,3
10,0,0
11,1,2
12,0,2
13,2,1
14,1,0
15,2,1
16,2,2
17,0,3
18,2,1
19,1,2
20,3,2
21,2,0
22,0,2
23,3,0
24,1,1
25,0,4
26,3,1
27,0,2
28,1,1
29,1,2
30,1,1
31,0,3
32,1,1
33,1,2
34,0,0
35,1,0
36,0,1
37,0,0
38,5,0
39,1,1
40,2,2
41,2,2
42,1,1
43,0,0
44,2,2
45,2,1
46,1,2
47,0,0
48,1,1
49,2,2
50,1,1
51,0,5
52,1,0
53,1,3
54,1,3
55,0,1
56,2,1
57,1,2
58,3,1
59,2,3
60,1,1
61,0,0
62,2,2
63,1,1
64,0,0
65,2,1
66,1,1
67,1,2
68,2,1
69,2,0
70,2,2
71,1,0
72,2,2
73,1,2
74,2,0
75,3,1
76,0,1
77,0,0
78,1,0
79,2,0
80,1,0
81,0,0
82,0,2
83,1,4
84,1,1
85,0,1
86,2,1
87,1,2
88,1,1
89,0,3
90,1,1
91,1,1
92,5,2
93,1,1
94,0,2
95,1,2
96,2,4
97,3,0
98,2,0
99,1,6
100,2,2
101,3,0
102,1,2
103,7,0
104,0,2
105,0,2
106,1,2
107,2,2
108,1,4
109,3,0
110,3,1
111,1,1
112,2,1
113,1,2
114,0,4
115,0,2
116,1,0
117,1,4
118,2,5
119,0,2
120,1,0
121,1,0
122,4,1
123,0,1
124,4,1
125,0,1
126,2,2
127,1,0
128,1,1
129,3,0
130,0,1
131,1,7
132,4,0
133,0,1
134,3,0
135,0,2
136,0,1
137,1,1
138,2,3
139,1,2
140,6,0
141,1,3
142,0,2
143,1,2
144,2,3
145,1,0
146,3,2
147,1,1
148,1,2
149,2,1
150,0,2
151,2,2
152,2,3
153,0,1
154,1,1
155,1,1
156,1,0
157,2,2
158,2,0
159,0,0
160,4,1
161,1,1
162,2,0
163,1,1
164,2,0
165,3,2
166,2,1
167,1,1
168,1,3
169,0,1
170,1,3
171,2,1
172,2,3
173,2,1
174,0,2
175,1,2
176,0,0
177,0,0
178,1,2
179,2,1
180,4,1
181,0,0
182,1,1
183,1,2
184,2,2
185,2,2
186,2,0
187,0,2
188,3,1
189,1,4
190,2,2
191,1,2
192,1,1
193,1,2
194,0,1
195,0,5
196,0,1
197,1,0
198,3,0
199,2,2
200,1,2
201,3,1
202,0,2
203,1,0
204,0,3
205,1,0
206,1,0
207,1,1
208,2,0
209,1,2
210,1,1
211,1,1
212,1,1
213,0,3
214,3,2
215,1,1
216,0,0
217,0,0
218,1,1
219,2,1
220,0,2
221,1,0
222,4,2
223,1,3
224,1,2
225,1,1
226,1,1
227,0,2
228,0,0
229,1,0
230,0,0
231,1,0
232,0,4
233,1,0
234,2,0
235,1,1
236,2,2
237,0,0
238,3,1
239,1,1
240,1,2
241,1,2
242,2,1
243,1,0
244,2,3
245,0,2
246,1,2
247,2,1
248,2,1
249,0,2
250,3,1
251,1,0
252,0,3
253,2,1
254,0,2
255,0,1
256,1,3
257,3,1
258,0,2
259,0,1
260,1,0
261,1,0
262,1,1
263,2,2
264,0,4
265,0,2
266,0,4
267,0,1
268,0,7
269,2,0
270,0,0
271,1,2
272,0,1
273,0,0
274,2,2
275,1,1
276,2,2
277,1,1
278,0,1
279,3,0
280,1,3
281,0,1
282,1,0
283,2,4
284,1,0
285,1,1
286,2,1
287,1,4
288,1,1
289,1,1
290,0,1
291,1,0
292,3,2
293,1,1
294,0,3
295,0,1
296,0,2
297,3,2
298,2,0
299,2,2
300,1,4
301,0,0
302,0,2
303,1,0
304,0,4
305,2,3
306,0,5
