web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294877-578,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,FC Porto,1,82,26,4,1,79,20,Jornada 31
1668294877-579,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Sporting,2,76,24,4,3,62,20,Jornada 31
1668294877-580,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Benfica,3,68,21,5,5,75,29,Jornada 31
1668294877-581,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,SC Braga,4,59,17,8,6,48,28,Jornada 31
1668294877-582,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Gil Vicente,5,48,12,12,7,43,33,Jornada 31
1668294877-583,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Vitória SC,6,43,12,7,12,43,39,Jornada 31
1668294877-584,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Marítimo,7,37,9,10,12,38,41,Jornada 31
1668294877-585,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Paços de Ferreira,8,37,9,10,12,28,39,Jornada 31
1668294877-586,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Santa Clara,9,36,8,12,11,35,49,Jornada 31
1668294877-587,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Estoril Praia,10,36,8,12,11,34,38,Jornada 31
1668294877-588,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Portimonense,11,35,9,8,14,28,41,Jornada 31
1668294877-589,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Boavista,12,33,6,15,10,34,48,Jornada 31
1668294877-590,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,FC Vizela,13,32,7,11,13,33,49,Jornada 31
1668294877-591,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,FC Famalicão,14,30,6,12,13,36,46,Jornada 31
1668294877-592,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,FC Arouca,15,27,6,9,16,29,53,Jornada 31
1668294877-593,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,Moreirense,16,26,6,8,17,28,47,Jornada 31
1668294877-594,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,CD Tondela,17,26,7,5,19,38,61,Jornada 31
1668294877-595,https://www.zerozero.pt/edition.php?jornada_in=31&id_edicao=156405&fase=150343,B SAD,18,25,5,10,16,21,51,Jornada 31
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294497-560,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,FC Porto,1,82,26,4,0,79,19,Jornada 30
1668294497-561,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,Sporting,2,73,23,4,3,59,20,Jornada 30
1668294497-562,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,Benfica,3,67,21,4,5,75,29,Jornada 30
1668294497-563,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,SC Braga,4,56,16,8,6,47,28,Jornada 30
1668294497-564,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,Gil Vicente,5,47,12,11,7,42,32,Jornada 30
1668294497-565,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,Vitória SC,6,42,12,6,12,42,38,Jornada 30
1668294497-566,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,Marítimo,7,36,9,9,12,36,39,Jornada 30
1668294497-567,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,Paços de Ferreira,8,36,9,9,12,27,38,Jornada 30
1668294497-568,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,Santa Clara,9,35,8,11,11,33,47,Jornada 30
1668294497-569,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,Estoril Praia,10,35,8,11,11,32,36,Jornada 30
1668294497-570,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,Boavista,11,33,6,15,9,34,45,Jornada 30
1668294497-571,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,Portimonense,12,32,8,8,14,27,41,Jornada 30
1668294497-572,https://www.zerozero.pt/edition.php?jornada_in=30&id_edicao=156405&fase=150343,FC Famalicão,13,29,6,11,13,36,46,Jornada 30
