web-scraper-order,web-scraper-start-url,team,team-href,name,idade,valorMercado,numero,posicao,equipa
"1668168840-641","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","","07/04/1995 (26)","300 mil €","1","Guarda-Redes","CS Marítimo"
"1668168840-642","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","","12/01/1987 (34)","300 mil €","48","Guarda-Redes","CS Marítimo"
"1668168840-643","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","","20/11/2001 (19)","100 mil €","96","Guarda-Redes","CS Marítimo"
"1668168840-644","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","Vitor Eudes","21/10/1998 (22)","50 mil €","-","Guarda-Redes","CS Marítimo"
"1668168840-645","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","","17/11/1996 (24)","700 mil €","-","Defesa Central","CS Marítimo"
"1668168840-646","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","","26/01/1995 (26)","600 mil €","4","Defesa Central","CS Marítimo"
"1668168840-647","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","Léo Andrade","18/04/1998 (23)","600 mil €","66","Defesa Central","CS Marítimo"
"1668168840-648","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","Moisés Mosquera","24/05/2001 (20)","200 mil €","3","Defesa Central","CS Marítimo"
"1668168840-649","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","Zainadine","24/06/1988 (33)","200 mil €","5","Defesa Central","CS Marítimo"
"1668168840-650","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","","01/07/1994 (27)","700 mil €","94","Lateral Esquerdo","CS Marítimo"
"1668168840-651","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","Fábio China","07/07/1992 (28)","300 mil €","45","Lateral Esquerdo","CS Marítimo"
"1668168840-652","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","Cláudio Winck","15/04/1994 (27)","800 mil €","2","Lateral Direito","CS Marítimo"
"1668168840-653","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","Tim Söderström","04/01/1994 (27)","200 mil €","27","Lateral Direito","CS Marítimo"
"1668168840-654","https://www.transfermarkt.pt/liga-portugal-bwin/startseite/wettbewerb/PO1/plus/?saison_id=2021","CS Marítimo","https://www.transfermarkt.pt/cs-maritimo/startseite/verein/1301/saison_id/2021","","01/11/1993 (27)","500 mil €","15","Médio Defensivo","CS Marítimo"
