web-scraper-order,web-scraper-start-url,pag,Data,Hora,Casa,Fora,Golos(Casa-Fora),Jornada
"1668125041-301","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-06","20:15","Sporting","FC Vizela","3-0","J1"
"1668125041-302","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-07","12:45","FC Arouca","Estoril Praia","0-2","J1"
"1668125041-303","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-07","18:00","Moreirense","Benfica","1-2","J1"
"1668125041-304","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-07","20:30","Marítimo","SC Braga","0-2","J1"
"1668125041-305","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-08","15:30","CD Tondela","Santa Clara","3-0","J1"
"1668125041-306","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-08","15:30","Vitória SC","Portimonense","0-1","J1"
"1668125041-307","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-08","18:00","FC Porto","B SAD","2-0","J1"
"1668125041-308","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-08","20:30","Paços de Ferreira","FC Famalicão","2-0","J1"
"1668125041-309","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-09","20:15","Gil Vicente","Boavista","3-0","J1"
"1668125041-310","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-13","20:15","Estoril Praia","Vitória SC","0-0","J2"
"1668125041-311","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-14","15:30","FC Vizela","CD Tondela","2-1","J2"
"1668125041-312","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-14","18:00","Benfica","FC Arouca","2-0","J2"
"1668125041-313","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-14","20:30","SC Braga","Sporting","1-2","J2"
"1668125041-314","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-15","15:30","Portimonense","Gil Vicente","0-1","J2"
"1668125041-315","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-15","18:00","FC Famalicão","FC Porto","1-2","J2"
"1668125041-316","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-15","20:30","Santa Clara","Moreirense","2-2","J2"
"1668125041-317","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-16","19:00","Boavista","Paços de Ferreira","3-0","J2"
"1668125041-318","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-16","21:15","B SAD","Marítimo","1-2","J2"
"1668125041-319","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-20","19:00","FC Arouca","FC Famalicão","2-1","J3"
"1668125041-320","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-20","21:15","Moreirense","SC Braga","2-3","J3"
"1668125041-321","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-21","18:00","Gil Vicente","Benfica","0-2","J3"
"1668125041-322","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-21","20:30","Sporting","B SAD","2-0","J3"
"1668125041-323","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-22","15:30","CD Tondela","Portimonense","0-3","J3"
"1668125041-324","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-22","18:00","Marítimo","FC Porto","1-1","J3"
"1668125041-325","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-22","20:30","Vitória SC","FC Vizela","4-0","J3"
"1668125041-326","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-23","19:00","Paços de Ferreira","Estoril Praia","1-3","J3"
"1668125041-327","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-23","21:15","Boavista","Santa Clara","2-0","J3"
"1668125041-328","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-27","19:00","B SAD","Moreirense","1-1","J4"
"1668125041-329","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-27","21:15","Estoril Praia","Marítimo","2-1","J4"
"1668125041-330","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-28","15:30","FC Vizela","Boavista","1-1","J4"
"1668125041-331","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-28","18:00","FC Porto","FC Arouca","3-0","J4"
"1668125041-332","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-28","20:30","FC Famalicão","Sporting","1-1","J4"
"1668125041-333","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-29","18:00","Benfica","CD Tondela","2-1","J4"
"1668125041-334","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-29","18:00","SC Braga","Vitória SC","0-0","J4"
"1668125041-335","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-29","20:30","Portimonense","Paços de Ferreira","0-1","J4"
"1668125041-336","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-08-29","20:30","Santa Clara","Gil Vicente","1-0","J4"
"1668125041-337","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-09-11","15:30","Paços de Ferreira","SC Braga","0-0","J5"
"1668125041-338","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-09-11","18:00","Santa Clara","Benfica","0-5","J5"
"1668125041-339","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-09-11","20:30","Sporting","FC Porto","1-1","J5"
"1668125041-340","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-09-12","15:30","Moreirense","FC Famalicão","2-2","J5"
"1668125041-341","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-09-12","18:00","Gil Vicente","FC Vizela","2-2","J5"
"1668125041-342","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-09-12","18:00","Boavista","Portimonense","1-1","J5"
"1668125041-343","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-09-12","20:30","Vitória SC","B SAD","0-0","J5"
"1668125041-344","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-09-13","19:00","Marítimo","FC Arouca","2-2","J5"
"1668125041-345","https://www.zerozero.pt/edition_matches.php?id=156405","","2021-09-13","21:15","CD Tondela","Estoril Praia","1-2","J5"
