web-scraper-order,web-scraper-start-url,pag,Data,Hora,Casa,Fora,Golos(Casa-Fora),Jornada
1668124841-1,https://www.zerozero.pt/edition_matches.php?id=156405,,8/6/2021,20:15,Sporting,FC Vizela,q,J1
1668124841-2,https://www.zerozero.pt/edition_matches.php?id=156405,,8/7/2021,12:45,FC Arouca,Estoril Praia,0-2,J1
1668124841-3,https://www.zerozero.pt/edition_matches.php?id=156405,,8/7/2021,18:00,Moreirense,Benfica,2-Jan,J1
1668124841-4,https://www.zerozero.pt/edition_matches.php?id=156405,,8/7/2021,20:30,Marítimo,SC Braga,0-2,J1
1668124841-5,https://www.zerozero.pt/edition_matches.php?id=156405,,8/8/2021,15:30,CD Tondela,Santa Clara,Mar-00,J1
1668124841-6,https://www.zerozero.pt/edition_matches.php?id=156405,,8/8/2021,15:30,Vitória SC,Portimonense,0-1,J1
1668124841-7,https://www.zerozero.pt/edition_matches.php?id=156405,,8/8/2021,18:00,FC Porto,B SAD,Feb-00,J1
1668124841-8,https://www.zerozero.pt/edition_matches.php?id=156405,,8/8/2021,20:30,Paços de Ferreira,FC Famalicão,Feb-00,J1
1668124841-9,https://www.zerozero.pt/edition_matches.php?id=156405,,8/9/2021,20:15,Gil Vicente,Boavista,Mar-00,J1
1668124841-10,https://www.zerozero.pt/edition_matches.php?id=156405,,8/13/2021,20:15,Estoril Praia,Vitória SC,0-0,J2
1668124841-11,https://www.zerozero.pt/edition_matches.php?id=156405,,8/14/2021,15:30,FC Vizela,CD Tondela,1-Feb,J2
1668124841-12,https://www.zerozero.pt/edition_matches.php?id=156405,,8/14/2021,18:00,Benfica,FC Arouca,Feb-00,J2
1668124841-13,https://www.zerozero.pt/edition_matches.php?id=156405,,8/14/2021,20:30,SC Braga,Sporting,2-Jan,J2
1668124841-14,https://www.zerozero.pt/edition_matches.php?id=156405,,8/15/2021,15:30,Portimonense,Gil Vicente,0-1,J2
1668124841-15,https://www.zerozero.pt/edition_matches.php?id=156405,,8/15/2021,18:00,FC Famalicão,FC Porto,2-Jan,J2
1668124841-16,https://www.zerozero.pt/edition_matches.php?id=156405,,8/15/2021,20:30,Santa Clara,Moreirense,2-Feb,J2
1668124841-17,https://www.zerozero.pt/edition_matches.php?id=156405,,8/16/2021,19:00,Boavista,Paços de Ferreira,Mar-00,J2
1668124841-18,https://www.zerozero.pt/edition_matches.php?id=156405,,8/16/2021,21:15,B SAD,Marítimo,2-Jan,J2
1668124841-19,https://www.zerozero.pt/edition_matches.php?id=156405,,8/20/2021,19:00,FC Arouca,FC Famalicão,1-Feb,J3
1668124841-20,https://www.zerozero.pt/edition_matches.php?id=156405,,8/20/2021,21:15,Moreirense,SC Braga,3-Feb,J3
1668124841-21,https://www.zerozero.pt/edition_matches.php?id=156405,,8/21/2021,18:00,Gil Vicente,Benfica,0-2,J3
1668124841-22,https://www.zerozero.pt/edition_matches.php?id=156405,,8/21/2021,20:30,Sporting,B SAD,Feb-00,J3
1668124841-23,https://www.zerozero.pt/edition_matches.php?id=156405,,8/22/2021,15:30,CD Tondela,Portimonense,0-3,J3
1668124841-24,https://www.zerozero.pt/edition_matches.php?id=156405,,8/22/2021,18:00,Marítimo,FC Porto,1-Jan,J3
1668124841-25,https://www.zerozero.pt/edition_matches.php?id=156405,,8/22/2021,20:30,Vitória SC,FC Vizela,Apr-00,J3
1668124841-26,https://www.zerozero.pt/edition_matches.php?id=156405,,8/23/2021,19:00,Paços de Ferreira,Estoril Praia,3-Jan,J3
1668124841-27,https://www.zerozero.pt/edition_matches.php?id=156405,,8/23/2021,21:15,Boavista,Santa Clara,Feb-00,J3
1668124841-28,https://www.zerozero.pt/edition_matches.php?id=156405,,8/27/2021,19:00,B SAD,Moreirense,1-Jan,J4
1668124841-29,https://www.zerozero.pt/edition_matches.php?id=156405,,8/27/2021,21:15,Estoril Praia,Marítimo,1-Feb,J4
1668124841-30,https://www.zerozero.pt/edition_matches.php?id=156405,,8/28/2021,15:30,FC Vizela,Boavista,1-Jan,J4
1668124841-31,https://www.zerozero.pt/edition_matches.php?id=156405,,8/28/2021,18:00,FC Porto,FC Arouca,Mar-00,J4
1668124841-32,https://www.zerozero.pt/edition_matches.php?id=156405,,8/28/2021,20:30,FC Famalicão,Sporting,1-Jan,J4
1668124841-33,https://www.zerozero.pt/edition_matches.php?id=156405,,8/29/2021,18:00,Benfica,CD Tondela,1-Feb,J4
1668124841-34,https://www.zerozero.pt/edition_matches.php?id=156405,,8/29/2021,18:00,SC Braga,Vitória SC,0-0,J4
1668124841-35,https://www.zerozero.pt/edition_matches.php?id=156405,,8/29/2021,20:30,Portimonense,Paços de Ferreira,0-1,J4
1668124841-36,https://www.zerozero.pt/edition_matches.php?id=156405,,8/29/2021,20:30,Santa Clara,Gil Vicente,Jan-00,J4
1668124841-37,https://www.zerozero.pt/edition_matches.php?id=156405,,9/11/2021,15:30,Paços de Ferreira,SC Braga,0-0,J5
1668124841-38,https://www.zerozero.pt/edition_matches.php?id=156405,,9/11/2021,18:00,Santa Clara,Benfica,0-5,J5
1668124841-39,https://www.zerozero.pt/edition_matches.php?id=156405,,9/11/2021,20:30,Sporting,FC Porto,1-Jan,J5
1668124841-40,https://www.zerozero.pt/edition_matches.php?id=156405,,9/12/2021,15:30,Moreirense,FC Famalicão,2-Feb,J5
1668124841-41,https://www.zerozero.pt/edition_matches.php?id=156405,,9/12/2021,18:00,Gil Vicente,FC Vizela,2-Feb,J5
1668124841-42,https://www.zerozero.pt/edition_matches.php?id=156405,,9/12/2021,18:00,Boavista,Portimonense,1-Jan,J5
1668124841-43,https://www.zerozero.pt/edition_matches.php?id=156405,,9/12/2021,20:30,Vitória SC,B SAD,0-0,J5
1668124841-44,https://www.zerozero.pt/edition_matches.php?id=156405,,9/13/2021,19:00,Marítimo,FC Arouca,2-Feb,J5
1668124841-45,https://www.zerozero.pt/edition_matches.php?id=156405,,9/13/2021,21:15,CD Tondela,Estoril Praia,2-Jan,J5
1668124841-46,https://www.zerozero.pt/edition_matches.php?id=156405,,9/17/2021,20:15,Portimonense,Santa Clara,1-Feb,J6
1668124841-47,https://www.zerozero.pt/edition_matches.php?id=156405,,9/18/2021,15:30,FC Famalicão,Marítimo,0-0,J6
1668124841-48,https://www.zerozero.pt/edition_matches.php?id=156405,,9/18/2021,18:00,B SAD,Gil Vicente,1-Jan,J6
1668124841-49,https://www.zerozero.pt/edition_matches.php?id=156405,,9/18/2021,20:30,FC Arouca,Vitória SC,2-Feb,J6
1668124841-50,https://www.zerozero.pt/edition_matches.php?id=156405,,9/19/2021,15:30,FC Vizela,Paços de Ferreira,1-Jan,J6
1668124844-51,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/3/2022,20:30,Sporting,Paços de Ferreira,Feb-00,J28
1668124844-52,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/4/2022,20:15,FC Porto,Santa Clara,Mar-00,J28
1668124844-53,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/8/2022,20:15,Gil Vicente,Moreirense,2-Jan,J29
1668124844-54,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/9/2022,15:30,Paços de Ferreira,Marítimo,Feb-00,J29
1668124844-55,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/9/2022,18:00,Boavista,FC Arouca,Jan-00,J29
1668124844-56,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/9/2022,18:00,Benfica,B SAD,1-Mar,J29
1668124844-57,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/9/2022,20:30,CD Tondela,Sporting,3-Jan,J29
1668124844-58,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/10/2022,15:30,Santa Clara,Estoril Praia,Feb-00,J29
1668124844-59,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/10/2022,15:30,Portimonense,FC Famalicão,Jan-00,J29
1668124844-60,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/10/2022,18:00,Vitória SC,FC Porto,0-1,J29
1668124844-61,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/10/2022,20:30,FC Vizela,SC Braga,0-1,J29
1668124844-62,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/15/2022,15:30,FC Arouca,Santa Clara,1-Jan,J30
1668124844-63,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/15/2022,18:00,FC Famalicão,Gil Vicente,2-Feb,J30
1668124844-64,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/15/2022,20:30,Vitória SC,Paços de Ferreira,Apr-00,J30
1668124844-65,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/16/2022,15:30,Moreirense,CD Tondela,Feb-00,J30
1668124844-66,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/16/2022,18:00,Marítimo,Boavista,Apr-00,J30
1668124844-67,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/16/2022,18:00,B SAD,FC Vizela,Jan-00,J30
1668124844-68,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/16/2022,20:30,FC Porto,Portimonense,Jul-00,J30
1668124844-69,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/17/2022,20:30,Sporting,Benfica,0-2,J30
1668124844-70,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/18/2022,20:30,Estoril Praia,SC Braga,0-0,J30
1668124844-71,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/22/2022,20:15,FC Vizela,FC Arouca,1-Feb,J31
1668124844-72,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/23/2022,15:30,Portimonense,Moreirense,Jan-00,J31
1668124844-73,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/23/2022,18:00,Benfica,FC Famalicão,0-0,J31
1668124844-74,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/23/2022,18:00,Santa Clara,Marítimo,2-Feb,J31
1668124844-75,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/23/2022,20:30,Gil Vicente,Paços de Ferreira,1-Jan,J31
1668124844-76,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/24/2022,18:00,Estoril Praia,B SAD,2-Feb,J31
1668124844-77,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/24/2022,20:30,CD Tondela,Vitória SC,1-Jan,J31
1668124844-78,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/25/2022,18:00,SC Braga,FC Porto,Jan-00,J31
1668124844-79,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/25/2022,20:30,Boavista,Sporting,0-3,J31
1668124844-80,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/29/2022,20:15,FC Famalicão,Estoril Praia,1-Mar,J32
1668124844-81,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/30/2022,15:00,FC Arouca,Portimonense,Jan-00,J32
1668124844-82,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/30/2022,17:00,Marítimo,Benfica,0-1,J32
1668124844-83,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/30/2022,19:00,FC Porto,FC Vizela,2-Apr,J32
1668124844-84,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,4/30/2022,21:00,B SAD,SC Braga,0-1,J32
1668124844-85,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/1/2022,15:30,Vitória SC,Santa Clara,1-Jan,J32
1668124844-86,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/1/2022,18:00,Moreirense,Boavista,2-Jan,J32
1668124844-87,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/1/2022,20:30,Sporting,Gil Vicente,1-Apr,J32
1668124844-88,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/2/2022,20:15,Paços de Ferreira,CD Tondela,1-Jan,J32
1668124844-89,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/6/2022,20:15,Boavista,Vitória SC,1-Jan,J33
1668124844-90,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/7/2022,15:30,Estoril Praia,Moreirense,Jan-00,J33
1668124844-91,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/7/2022,18:00,Benfica,FC Porto,0-1,J33
